settings_for_import_type_object, "Settings for import type Object"
settings_for_import_type_attributes, "Settings for import type Attributes"
settings_for_import_type_custom, "Settings for import type Custom"
custom_class, "Custom class"
attributes_start_after_field, "Attributes start after field"
classification_store_field, "Classification store field"
classification_field, "Classification field"
language_separator, "Language separator"
import_type, "Import type"
import_profiles, "Import profiles"
profile_name, "Profile name"
selected file, "Selected file"
load_path, "Load path"
save_to_path, "Save to path"
store_as_variant, "Store as variant"
add_new_file, "Add new file"
profile_save_confirm, "Current configuration wil be deleted, are you sure you want to continue?"
save_notification_title, "Profile"
save_notification, "Changes saved successfully."
import_configuration, "Import configuration"
Profile, "Profile"
start import, "Start import"
last modified, "Updated"
created, "Created"
add_new_profile, "Add new profile"
remove_profile, "Remove profile"
csv_product_importer_mapper, "CSV product importer mapper"
csv_product_importer, "CSV product importer"
product_importer, "Product importer"
select_an_object, "Select an object"
file_uploaded_confirmation_title, "Success"
file_uploaded_confirmation, "File uploaded"
are_you_sure_you_want_to_delete_this_profile, "Are you sure you want to delete this profile?"
confirm, "Confirm"
please_select_a_profile_to_delete, "Please select a profile to delete!"
something_went_wrong_please_retry, "Something went wrong please retry!"
clone_profile, "Duplicate"
custom_class_help, "The custom class should implement 'BulkPump\CustomImportInterface'"
youwe_bulkpump_save_title, "Notification"
youwe_bulkpump_save_message, "Profile has been saved"
csv_import_result_title, "Notification"
csv_import_result_message, "The import has ran successfully"
import_profile, "Run profile"
please_select_a_profile_to_run, "Please select a profile to run"
are_you_sure_you_want_to_run_this_profile, "Are you sure that you want to run this import?"
